"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"311","36.90224719","3.744E-4","0.02709862","0.33333333","3","77","false","160","2.66666667","3","0","0","0.71506153","false","0","160","317614","0.46666667"
"312","37.20168539","0.00112317","0.0268805","0.33333333","3","77","false","161","3.0","3","0","0","0.71268504","false","0","161","920676","0.44444444"
"314","40.26086142","0.00518197","0.02483802","0.16666667","4","93","false","162","3.25","4","0","0","0.68840586","false","0","162","5354978","0.30555556"
"315","39.59438202","0.01016143","0.02525611","0.0","3","92","false","163","3.33333333","3","0","0","0.69369538","false","0","163","10825402","0.33333333"
"317","38.06273408","3.7453E-4","0.02627242","0.0","3","84","false","164","2.5","3","0","1","0.70585132","false","0","164","293132","0.5"
"318","39.06254682","0.0","0.02559997","0.0","2","85","false","165","2.0","2","0","1","0.6979163","false","0","165","0","0.0"
"320","43.09850187","3.7453E-4","0.02320266","0.0","3","82","false","166","2.5","3","0","1","0.66588491","false","0","166","138258","0.5"
"321","44.09831461","0.0","0.0226766","0.0","2","83","false","167","2.0","2","0","1","0.65794988","false","0","167","0","0.0"
"324","34.35973783","0.03151639","0.02910383","0.33333333","3","82","false","168","4.0","3","0","0","0.73524018","false","0","168","35667672","0.45833333"
"325","35.19850187","0.02720832","0.0284103","0.33333333","4","83","false","169","3.5","4","0","0","0.72858332","false","0","169","30383708","0.36111111"
"327","41.35393258","0.03424688","0.0241815","0.0","3","92","false","170","2.0","3","0","0","0.67973069","false","0","170","7644772","0.33333333"
"328","40.91086142","0.03429934","0.02444339","0.0","2","92","false","171","3.0","2","0","0","0.68324713","false","0","171","7733352","0.5"
"330","44.57097378","0.01947412","0.02243613","0.0","3","92","false","172","3.0","3","0","0","0.65419862","false","0","172","12906764","0.33333333"
"332","31.84475655","0.00165383","0.03140234","0.0","3","67","false","173","3.0","3","0","0","0.75520034","false","0","173","1732088","0.4"
"333","32.84344569","5.3499E-4","0.03044748","0.0","3","68","false","174","2.33333333","3","0","0","0.74727424","false","0","174","476470","0.44444444"
"335","38.31741573","0.02505591","0.02609779","0.0","3","82","false","175","3.33333333","3","0","0","0.70383003","false","0","175","25872212","0.38888889"
"336","38.63014981","0.02949254","0.02588652","0.0","3","83","false","176","3.33333333","3","0","0","0.70134802","false","0","176","28805726","0.33333333"
"338","45.0752809","0.00221337","0.02218511","0.0","3","94","false","177","2.33333333","3","0","0","0.65019618","false","0","177","2612976","0.33333333"
"339","45.20074906","3.2E-4","0.02212353","0.0","2","94","false","178","3.0","2","0","0","0.6492004","false","0","178","21478","0.5"
"341","48.36142322","9.7367E-4","0.02067764","0.0","4","90","false","179","2.0","4","0","1","0.62411569","false","0","179","741790","0.33333333"
"342","48.93501873","3.8958E-4","0.02043526","0.0","3","91","false","180","3.0","3","0","1","0.61956334","false","0","180","476392","0.5"
"344","32.56067416","9.8494E-4","0.03071189","0.0","3","67","false","181","2.66666667","3","0","0","0.74951846","false","0","181","1051940","0.41666667"
"345","33.56048689","0.0","0.02979695","0.0","1","68","false","182","3.0","1","0","0","0.74158344","false","0","182","0","0.0"
"347","60.16853933","0.0039607","0.01661998","0.0","3","108","false","183","3.0","3","0","0","0.53040842","false","0","183","5509688","0.33333333"
"348","60.90486891","0.00195384","0.01641905","0.0","3","109","false","184","3.0","3","0","0","0.52456453","false","0","184","2325702","0.33333333"
"350","41.60037453","8.9318E-4","0.02403825","0.0","3","94","false","185","2.66666667","3","0","0","0.67777481","false","0","185","1761824","0.33333333"
